country,city,temperature,temperature_anomaly,period
AO,Alto Hama,19.9,0.89,2010s
AO,Andulo,19.5,0.8,2010s
AO,Bailundo,22.37,0.76,2010s
AO,Balombo,20.57,0.8,2010s
AO,Banza Damba,22.64,0.8,2010s
AO,Belize,24.18,0.87,2010s
AO,Bibala,21.19,0.83,2010s
AO,Bocoio,20.71,0.68,2010s
AO,Buco,22.4,0.76,2010s
AO,Buco Zau,24.54,0.86,2010s
AO,Cacolo,21.98,0.89,2010s
AO,Caconda,19.81,0.92,2010s
AO,Cacuso,22.26,0.71,2010s
AO,Cafunfo,24.76,1.06,2010s
AO,Cahama,23.55,1.38,2010s
AO,Caimbambo,22.94,0.58,2010s
AO,Calai,23.53,1.21,2010s
AO,Calandula,22.29,0.73,2010s
AO,Calonamba,20.03,0.93,2010s
AO,Calucinga,19.23,0.8,2010s
AO,Calulo,21.71,0.8,2010s
AO,Caluquembe,19.64,0.91,2010s
AO,Camabatela,21.01,0.78,2010s
AO,Camacupa,21.33,0.87,2010s
AO,Camanongue,21.58,0.82,2010s
AO,Camboio,23.05,0.63,2010s
AO,Cambundi,26.15,1.26,2010s
AO,Cambundi Catembo,22.72,0.9,2010s
AO,Cameia,22.53,0.83,2010s
AO,Camucuio,24.02,0.67,2010s
AO,Cangandala,22.5,0.79,2010s
AO,Capunda,20.79,0.78,2010s
AO,Cassanguidi,24.93,1.19,2010s
AO,Catabola,20.85,0.89,2010s
AO,Catchiungo,18.93,0.87,2010s
AO,Caxito,25.77,0.83,2010s
AO,Cazaji,22.13,0.83,2010s
AO,Cazombo,22.71,0.83,2010s
AO,Caála,19.12,0.92,2010s
AO,Cela,20.92,0.75,2010s
AO,Chela,18.68,0.87,2010s
AO,Chibia,20.58,0.99,2010s
AO,Chicomba,21.46,1.1,2010s
AO,Chinguar,19.08,0.86,2010s
AO,Chinjenje,18.59,0.83,2010s
AO,Chipindo,20.34,1.01,2010s
AO,Chissamba,21.05,0.89,2010s
AO,Chitato,24.89,1.2,2010s
AO,Chitembo,19.89,0.94,2010s
AO,Chongoroi,23.04,0.75,2010s
AO,Conda,21.52,0.89,2010s
AO,Cuango-Luzamba,24.39,1.0,2010s
AO,Cubal,22.59,0.63,2010s
AO,Cuchi,21.46,1.23,2010s
AO,Cuemba,21.55,0.83,2010s
AO,Cuilo,22.85,0.94,2010s
AO,Cunda diá Baze,25.09,1.0,2010s
AO,Cunhinga,19.04,0.81,2010s
AO,Cuímba,23.93,0.75,2010s
AO,Cuíto,19.39,0.83,2010s
AO,Dala,21.76,0.83,2010s
